[Info  - 11:50:41] Angular language server process ID: 13723
[Info  - 11:50:41] Using typescript/lib/tsserverlibrary v4.5.4 from /root/.vscode/extensions/angular.ng-template-13.2.0/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 11:50:41] Using @angular/language-service v13.2.0 from /root/.vscode/extensions/angular.ng-template-13.2.0/node_modules/@angular/language-service/index.js
[Info  - 11:50:41] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 11:50:44] No config file for /home/felipe/Documentos/react/media-time-calculator/public/index.html
[Error - 11:50:52] No config file for /home/felipe/Documentos/react/media-time-calculator/public/index.html
[Error - 11:50:52] No config file for /home/felipe/Documentos/react/media-time-calculator/public/index.html
[Error - 11:51:06] No config file for /home/felipe/Documentos/react/media-time-calculator/public/index.html
[Error - 11:51:07] No config file for /home/felipe/Documentos/react/media-time-calculator/public/index.html
[Error - 14:10:05] No config file for /home/felipe/Documentos/react/media-time-calculator/public/index.html
[Error - 14:10:12] No config file for /home/felipe/Documentos/react/media-time-calculator/public/index.html
[Error - 14:35:20] No config file for /home/felipe/Documentos/react/media-time-calculator/public/index.html
